
Activity Table
RecID","MultiSportSessionRecID","NextSportRecID","StartTime","Sport","TotalTimeSeconds","DistanceMeters","VirtualPartner","PlanName","PlanType","IntervalWorkout","Notes","Creator","
1","","","2011-03-20T19:43:32Z","Biking","","","","""","","","""",""Forerunner305"","
2","","","2011-03-26T14:57:43Z","Running","","","","""","","","""",""Forerunner305"","
3","","","2011-03-13T22:25:59Z","Running","","","","""","","","""",""Forerunner305"","
4","","","2011-03-30T14:01:21Z","Running","","","","""","","","""",""Forerunner305"","
5","","","2011-03-08T14:53:11Z","Running","","","","""","","","""",""Forerunner305"","
6","","","2011-03-11T14:37:24Z","Running","","","","""","","","""",""Forerunner305"","
7","","","2011-03-15T13:41:34Z","Running","","","","""","","","""",""Forerunner305"","
8","","","2011-03-17T13:46:53Z","Running","","","","""","","","""",""Forerunner305"","
9","","","2011-03-28T14:03:39Z","Running","","","","""","","","""",""Forerunner305"","
10","","","2011-03-25T13:39:27Z","Running","","","","""","","","""",""Forerunner305"","
11","","","2011-03-24T14:23:02Z","Running","","","","""","","","""",""Forerunner305"","
12","","","2011-03-11T14:36:54Z","Running","","","","""","","","""",""Forerunner305"","
13","","","2011-03-09T15:09:07Z","Running","","","","""","","","""",""Forerunner305"","
14","","","2011-03-04T16:46:33Z","Running","","","","""","","","""",""Forerunner305"","
15","","","2011-03-03T13:23:53Z","Running","","","","""","","","""",""Forerunner305"","
16","","","2011-03-19T13:57:43Z","Running","","","","""","","","""",""Forerunner305"","
17","1","","2011-03-22T13:52:46Z","Biking","","","","""","","","""",""Forerunner305"","
18","","1","2011-03-22T13:54:20Z","Running","","","","""","","","""",""Forerunner305"","

MultiSportSession Table
RecID","StartTime","Notes","
1","2011-03-22T13:52:46Z","""","

NextSport Table
RecID","MultiSportSessionRecID","
1","1","

ActivityLap Table
RecID","ActivityRecID","NextSportRecID","StartTime","TotalTimeSeconds","DistanceMeters","MaximumSpeed","Calories","AverageHeartRateBpm","MaximumHeartRateBpm","Intensity","AverageCadence","TriggerMethod","Notes","
50","11","","2011-03-24T14:33:03Z","528.1100000","1609.3439941","3.6275001","204","154","162","Active","","Distance","""","
51","11","","2011-03-24T14:42:02Z","507.8800000","1609.3439941","3.6391668","190","158","169","Active","","Distance","""","
52","11","","2011-03-24T14:50:30Z","3.6500000","11.8862305","2.2070832","0","168","168","Active","","Manual","""","
53","12","","2011-03-11T14:36:54Z","11.4200000","21.1496105","1.6904168","0","80","84","Active","","Manual","""","
54","13","","2011-03-09T15:09:07Z","612.7300000","1609.3439941","3.1562500","156","110","130","Active","","Distance","""","
55","13","","2011-03-09T15:19:21Z","579.4600000","1609.3439941","3.5850000","225","135","151","Active","","Distance","""","
56","13","","2011-03-09T15:29:25Z","551.3900000","1609.3439941","3.6075001","188","146","157","Active","","Distance","""","
57","13","","2011-03-09T15:38:58Z","684.7900000","1609.3439941","3.3041666","202","143","152","Active","","Distance","""","
58","13","","2011-03-09T15:50:23Z","2.6900000","5.8984375","1.6720834","0","150","150","Active","","Manual","""","
59","14","","2011-03-04T16:46:33Z","566.7400000","1609.3439941","3.3929167","151","131","157","Active","","Distance","""","
60","14","","2011-03-04T16:56:15Z","585.8200000","1609.3439941","3.3225002","197","140","154","Active","","Distance","""","
61","14","","2011-03-04T17:06:20Z","615.3900000","1609.3439941","3.2154164","192","142","157","Active","","Distance","""","
62","14","","2011-03-04T17:22:02Z","348.1700000","856.1250000","3.1487501","132","149","164","Active","","Manual","""","
63","14","","2011-03-08T14:52:51Z","1.5300000","0.1069336","0.6275001","0","148","159","Active","","Manual","""","
64","15","","2011-03-03T13:23:53Z","530.9700000","1609.3439941","3.5191665","199","145","167","Active","","Distance","""","
65","15","","2011-03-03T13:32:44Z","513.1700000","1609.3439941","3.7504170","182","156","164","Active","","Distance","""","
66","15","","2011-03-03T13:41:33Z","482.2900000","1609.3439941","3.8204167","183","160","169","Active","","Distance","""","
67","15","","2011-03-03T13:50:33Z","467.9200000","1609.3439941","4.0062504","198","172","178","Active","","Distance","""","
